,name,ratings,dog_stage,retweet_count,favorite_count,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
666411507551481857,quite,2/10,Unknown dog stage,339,459,coho,40.46,False,barracouta,27.15,False,gar,18.99,False
666418789513326592,Walter,10/10,Unknown dog stage,48,129,toy_terrier,14.97,True,papillon,14.83,True,Chihuahua,14.29,True
666421158376562688,None,12/10,Unknown dog stage,118,327,Blenheim_spaniel,90.68,True,cocker_spaniel,9.03,True,Shih-Tzu,0.11,True
666428276349472768,None,7/10,Unknown dog stage,90,171,Pembroke,37.14,True,chow,24.94,True,Pomeranian,24.19,True
666430724426358785,None,6/10,Unknown dog stage,204,330,llama,50.52,False,Irish_terrier,10.41,True,dingo,6.21,False
666435652385423360,None,10/10,Unknown dog stage,54,170,Chesapeake_Bay_retriever,18.41,True,chain_saw,5.68,False,power_drill,3.68,False
666437273139982337,None,7/10,Unknown dog stage,52,131,Chihuahua,67.19,True,beagle,12.47,True,Saluki,4.41,True
666447344410484738,Scout,9/10,Unknown dog stage,23,107,curly-coated_retriever,32.21,True,giant_schnauzer,28.8,True,Labrador_retriever,16.63,True
666454714377183233,Kreggory,10/10,Unknown dog stage,223,545,dalmatian,27.9,True,Labrador_retriever,23.76,True,Great_Pyrenees,17.11,True
666644823164719104,Jimothy,9/10,Unknown dog stage,88,238,Ibizan_hound,4.43,True,Pembroke,4.32,True,West_Highland_white_terrier,3.89,True
666649482315059201,None,4/10,Unknown dog stage,608,923,Border_collie,44.78,True,English_springer,17.05,True,collie,13.92,True
666691418707132416,Christoper,8/10,Unknown dog stage,51,196,German_shepherd,97.54,True,beagle,0.87,True,bloodhound,0.54,True
666701168228331520,a,8/10,Unknown dog stage,234,449,Labrador_retriever,88.77,True,Chihuahua,2.93,True,French_bulldog,2.08,True
666739327293083650,Lugan,10/10,Unknown dog stage,71,244,miniature_poodle,54.69,True,cocker_spaniel,16.53,True,toy_poodle,9.6,True
666776908487630848,Josep,5/10,Unknown dog stage,186,368,seat_belt,37.51,False,miniature_pinscher,16.72,True,Chihuahua,8.7,True
666781792255496192,a,10/10,Unknown dog stage,211,404,Italian_greyhound,61.83,True,Weimaraner,15.14,True,vizsla,8.6,True
666786068205871104,None,2/10,Unknown dog stage,521,800,snail,99.99,False,slug,0.01,False,acorn,0.0,False
666804364988780544,Jockson,8/10,Unknown dog stage,95,250,English_setter,32.88,True,Brittany_spaniel,28.35,True,Ibizan_hound,5.75,True
666817836334096384,Jeph,9/10,Unknown dog stage,267,540,miniature_schnauzer,49.7,True,standard_schnauzer,28.53,True,giant_schnauzer,7.38,True
666826780179869698,None,12/10,Unknown dog stage,105,266,Maltese_dog,35.94,True,teddy,14.88,False,West_Highland_white_terrier,10.6,True
666835007768551424,None,10/10,Unknown dog stage,83,222,Airedale,44.85,True,toy_poodle,12.4,True,teddy,11.02,False
666837028449972224,None,3/10,Unknown dog stage,584,857,triceratops,44.21,False,armadillo,11.41,False,common_iguana,4.33,False
666983947667116034,a,11/10,Unknown dog stage,1040,2679,swab,58.94,False,chain_saw,19.01,False,wig,3.45,False
666996132027977728,Carll,10/10,Unknown dog stage,102,258,hay,50.76,False,Rottweiler,6.25,True,water_buffalo,4.84,False
667012601033924608,Klevin,9/10,Unknown dog stage,237,471,hyena,98.72,False,African_hunting_dog,1.26,False,coyote,0.01,False
667044094246576128,None,12/10,Unknown dog stage,54,198,golden_retriever,76.53,True,Labrador_retriever,20.67,True,seat_belt,1.07,False
667062181243039745,Keet,10/10,Unknown dog stage,57,227,Chesapeake_Bay_retriever,82.57,True,vizsla,9.1,True,kelpie,2.3,True
667065535570550784,None,8/10,Unknown dog stage,51,175,jigsaw_puzzle,56.0,False,doormat,10.33,False,space_heater,4.26,False
667073648344346624,Dave,10/10,Unknown dog stage,134,425,Chihuahua,48.37,True,pug,9.25,True,Brabancon_griffon,5.75,True
667090893657276420,Clybe,7/10,Unknown dog stage,132,349,Chihuahua,95.95,True,Italian_greyhound,0.54,True,Pomeranian,0.26,True
667119796878725120,Gabe,10/10,Unknown dog stage,135,346,Pembroke,74.16,True,Chihuahua,5.79,True,toy_poodle,3.91,True
667138269671505920,None,10/10,Unknown dog stage,2387,4851,West_Highland_white_terrier,74.77,True,Samoyed,24.36,True,toy_poodle,0.18,True
667152164079423490,Pipsy,12/10,Unknown dog stage,18285,49720,toy_poodle,53.54,True,Pomeranian,8.75,True,miniature_poodle,6.2,True
667160273090932737,Bradlay,11/10,Unknown dog stage,66,268,golden_retriever,47.14,True,miniature_poodle,9.2,True,standard_poodle,8.74,True
667165590075940865,Churlie,10/10,Unknown dog stage,1241,2819,miniature_pinscher,14.02,True,Rottweiler,13.41,True,beagle,8.19,True
667171260800061440,Kenneth,10/10,Unknown dog stage,97,235,giant_schnauzer,84.13,True,Lakeland_terrier,5.27,True,Irish_water_spaniel,3.44,True
667174963120574464,Clarence,9/10,Unknown dog stage,88,262,toy_poodle,26.64,True,Chihuahua,24.32,True,bluetick,7.28,True
667176164155375616,None,4/10,Unknown dog stage,484,640,soft-coated_wheaten_terrier,31.9,True,Lakeland_terrier,21.52,True,toy_poodle,10.6,True
667177989038297088,a,8/10,Unknown dog stage,58,200,vizsla,25.92,True,Chesapeake_Bay_retriever,17.63,True,Weimaraner,11.24,True
667182792070062081,Timison,10/10,Unknown dog stage,6618,15075,golden_retriever,94.99,True,Irish_setter,1.06,True,Chesapeake_Bay_retriever,0.58,True
667188689915760640,None,10/10,Unknown dog stage,449,784,vacuum,33.58,False,swab,26.53,False,toilet_tissue,14.07,False
667192066997374976,None,12/10,Unknown dog stage,115,414,Rottweiler,28.36,True,miniature_pinscher,14.81,True,black-and-tan_coonhound,9.56,True
667200525029539841,Joshwa,11/10,Unknown dog stage,282,658,Siberian_husky,69.49,True,malamute,23.2,True,Eskimo_dog,5.06,True
667211855547486208,Genevieve,9/10,Unknown dog stage,258,516,golden_retriever,46.26,True,Labrador_retriever,45.49,True,kuvasz,2.42,True
667369227918143488,None,10/10,Unknown dog stage,173,385,teddy,70.95,False,bath_towel,12.73,False,Christmas_stocking,2.86,False
667393430834667520,Fwed,8/10,Unknown dog stage,60,211,papillon,55.7,True,Border_collie,27.2,True,collie,7.35,True
667405339315146752,Biden,7/10,Unknown dog stage,234,489,Saint_Bernard,38.14,True,Leonberg,12.8,True,golden_retriever,6.94,True
667435689202614272,None,12/10,Unknown dog stage,89,326,Rottweiler,99.91,True,miniature_pinscher,0.05,True,black-and-tan_coonhound,0.02,True
667437278097252352,None,10/10,Unknown dog stage,257,483,porcupine,98.92,False,bath_towel,0.63,False,badger,0.1,False
667443425659232256,None,6/10,Unknown dog stage,620,833,goose,98.08,False,drake,0.69,False,hen,0.53,False
667453023279554560,Cupcake,11/10,Unknown dog stage,96,327,Labrador_retriever,82.57,True,French_bulldog,5.66,True,Staffordshire_bullterrier,5.4,True
667455448082227200,Reese,7/10,Unknown dog stage,66,203,Tibetan_terrier,67.64,True,Irish_terrier,5.49,True,Yorkshire_terrier,4.06,True
667470559035432960,a,11/10,Unknown dog stage,102,273,toy_poodle,30.42,True,pug,22.34,True,Lakeland_terrier,7.33,True
667491009379606528,None,7/10,Unknown dog stage,242,559,borzoi,85.21,True,ice_bear,13.23,False,weasel,0.57,False
667495797102141441,Philippe,9/10,Unknown dog stage,294,565,Chihuahua,14.4,True,Christmas_stocking,11.87,False,ski_mask,9.25,False
667502640335572993,Hall,11/10,Unknown dog stage,231,563,Labrador_retriever,99.67,True,golden_retriever,0.17,True,beagle,0.07,True
667509364010450944,None,12/10,Unknown dog stage,2272,7148,beagle,63.62,True,Labrador_retriever,11.93,True,golden_retriever,8.25,True
667517642048163840,Dook,8/10,Unknown dog stage,203,389,Italian_greyhound,12.52,True,standard_poodle,8.46,True,cocker_spaniel,8.13,True
667524857454854144,None,12/10,Unknown dog stage,1198,1798,hare,44.79,False,dhole,9.24,False,Chesapeake_Bay_retriever,8.81,True
667530908589760512,Naphaniel,10/10,Unknown dog stage,264,501,golden_retriever,63.3,True,kuvasz,14.64,True,Labrador_retriever,4.62,True
667534815156183040,Frank,8/10,Unknown dog stage,576,866,Pembroke,43.53,True,Cardigan,30.74,True,cocker_spaniel,3.32,True
667538891197542400,a,9/10,Unknown dog stage,72,220,Yorkshire_terrier,61.9,True,silky_terrier,30.03,True,Australian_terrier,5.34,True
667544320556335104,Kial,10/10,Unknown dog stage,568,917,Pomeranian,41.29,True,Pembroke,31.3,True,Chihuahua,7.2,True
667546741521195010,George,9/10,Unknown dog stage,138,355,toy_poodle,78.74,True,miniature_poodle,20.22,True,teddy,0.4,False
667549055577362432,None,1/10,Unknown dog stage,2454,6138,electric_fan,98.44,False,spotlight,0.77,False,lampshade,0.19,False
667724302356258817,None,7/10,Unknown dog stage,341,517,ibex,61.91,False,bighorn,12.51,False,ram,7.47,False
667728196545200128,Olive,11/10,Unknown dog stage,162,398,kuvasz,36.02,True,golden_retriever,29.37,True,Labrador_retriever,27.07,True
667766675769573376,Calvin,9/10,Unknown dog stage,243,476,fire_engine,88.35,False,tow_truck,7.47,False,jeep,1.28,False
667773195014021121,a,8/10,Unknown dog stage,61,243,West_Highland_white_terrier,36.05,True,pug,9.35,True,ice_bear,6.9,False
667782464991965184,None,9/10,Unknown dog stage,261,434,lorikeet,46.61,False,hummingbird,8.3,False,African_grey,5.42,False
667793409583771648,None,8/10,Unknown dog stage,358,736,dalmatian,53.51,True,English_setter,45.12,True,Great_Dane,0.82,True
667801013445750784,None,12/10,Unknown dog stage,101,346,flat-coated_retriever,50.84,True,Chesapeake_Bay_retriever,26.22,True,curly-coated_retriever,4.89,True
667806454573760512,Filup,10/10,Unknown dog stage,535,1111,toyshop,25.31,False,Chihuahua,18.72,True,Brabancon_griffon,11.28,True
667832474953625600,None,12/10,Unknown dog stage,68,303,miniature_pinscher,21.42,True,bath_towel,14.68,False,Chihuahua,10.42,True
667861340749471744,a,9/10,Unknown dog stage,86,253,malamute,96.73,True,Siberian_husky,1.62,True,Eskimo_dog,1.13,True
667866724293877760,Shaggy,10/10,Unknown dog stage,1110,3172,jigsaw_puzzle,100.0,False,prayer_rug,0.0,False,doormat,0.0,False
667873844930215936,None,10/10,Unknown dog stage,440,667,common_iguana,99.96,False,frilled_lizard,0.02,False,African_chameleon,0.01,False
667878741721415682,Tedrick,2/10,Unknown dog stage,127,409,seat_belt,20.04,False,miniature_pinscher,10.6,True,schipperke,10.47,True
667885044254572545,Stu,10/10,Unknown dog stage,530,868,malamute,8.85,True,golden_retriever,8.75,True,muzzle,7.5,False
667886921285246976,Erik,11/10,Unknown dog stage,1180,2011,Pomeranian,80.04,True,Pekinese,16.84,True,Chihuahua,0.89,True
667902449697558528,Cleopatricia,9/10,Unknown dog stage,396,905,Norwegian_elkhound,29.89,True,malamute,27.95,True,Eskimo_dog,19.84,True
667911425562669056,None,5/10,Unknown dog stage,329,523,frilled_lizard,25.77,False,ox,23.52,False,triceratops,8.53,False
667915453470232577,Otis,10/10,Unknown dog stage,59,222,leatherback_turtle,45.25,False,boxer,19.67,True,terrapin,16.1,False
667924896115245057,Jiminy,9/10,Unknown dog stage,119,318,Labrador_retriever,20.91,True,hog,20.4,False,Newfoundland,16.59,True
667937095915278337,None,3/10,Unknown dog stage,866,1356,hamster,17.21,False,guinea_pig,9.49,False,Band_Aid,6.0,False
668113020489474048,Alfie,6/10,Unknown dog stage,265,709,Pembroke,54.89,True,Cardigan,19.11,True,collie,5.98,True
668142349051129856,None,2/10,Unknown dog stage,306,592,Angora,91.88,False,hen,3.78,False,wood_rabbit,1.1,False
668154635664932864,None,9/10,Unknown dog stage,336,522,Arctic_fox,47.36,False,wallaby,26.14,False,white_wolf,8.09,False
668171859951755264,a,7/10,Unknown dog stage,208,525,Chihuahua,66.48,True,cowboy_boot,6.03,False,giant_panda,5.98,False
668190681446379520,Skittles,12/10,Unknown dog stage,210,696,Blenheim_spaniel,95.84,True,cocker_spaniel,2.68,True,Welsh_springer_spaniel,0.78,True
668204964695683073,Ron,8/10,Unknown dog stage,206,586,Labrador_retriever,65.52,True,golden_retriever,10.79,True,Chesapeake_Bay_retriever,6.58,True
668221241640230912,None,10/10,Unknown dog stage,215,537,chow,39.51,True,golden_retriever,37.21,True,Labrador_retriever,14.88,True
668226093875376128,None,10/10,Unknown dog stage,115,323,trombone,39.03,False,cornet,31.41,False,French_horn,25.52,False
668237644992782336,Torque,10/10,Unknown dog stage,3100,6614,chow,80.93,True,minivan,7.13,False,Pekinese,3.79,True
668248472370458624,Bisquick,8/10,Unknown dog stage,523,1056,Chihuahua,73.45,True,miniature_pinscher,6.83,True,toy_terrier,4.64,True
668256321989451776,Jareld,13/10,Unknown dog stage,667,1385,canoe,40.77,False,paddle,11.56,False,Pembroke,9.44,True
668268907921326080,None,10/10,Unknown dog stage,261,592,Pembroke,48.48,True,Cardigan,42.53,True,basenji,1.48,True
668274247790391296,Sophie,10/10,Unknown dog stage,248,886,soft-coated_wheaten_terrier,40.64,True,Lakeland_terrier,26.39,True,toy_poodle,15.08,True
668286279830867968,Rusty,11/10,Unknown dog stage,149,535,golden_retriever,21.59,True,basset,18.92,True,Cardigan,11.3,True
668291999406125056,None,10/10,Unknown dog stage,34,264,web_site,99.55,False,skunk,0.14,False,badger,0.07,False
668297328638447616,None,9/10,Unknown dog stage,319,656,king_penguin,60.67,False,ice_bear,26.42,False,Eskimo_dog,3.28,True
668466899341221888,a,4/10,Unknown dog stage,560,936,shopping_basket,39.84,False,hamper,36.32,False,bassinet,8.42,False
668480044826800133,DayZ,11/10,Unknown dog stage,162,491,Arctic_fox,11.92,False,Labrador_retriever,10.0,True,pug,8.67,True
668484198282485761,None,9/10,Unknown dog stage,253,453,standard_poodle,58.74,True,Bedlington_terrier,18.24,True,Afghan_hound,4.1,True
668496999348633600,Jo,8/10,Unknown dog stage,146,436,Staffordshire_bullterrier,41.29,True,miniature_pinscher,16.15,True,American_Staffordshire_terrier,11.25,True
668507509523615744,a,10/10,Unknown dog stage,116,345,basenji,5.54,True,Shetland_sheepdog,5.43,True,whippet,5.19,True
668528771708952576,Gòrdón,12/10,Unknown dog stage,242,496,Labrador_retriever,19.58,True,kuvasz,12.16,True,English_setter,8.15,True
668537837512433665,Spark,8/10,Unknown dog stage,79,265,Lakeland_terrier,37.3,True,toy_poodle,25.04,True,Chihuahua,18.97,True
668542336805281792,None,10/10,Unknown dog stage,231,497,American_Staffordshire_terrier,26.77,True,French_bulldog,25.4,True,Staffordshire_bullterrier,21.24,True
668544745690562560,None,10/10,Unknown dog stage,250,561,bearskin,42.79,False,bow,25.89,False,panpipe,2.16,False
668567822092664832,Marvin,11/10,Unknown dog stage,62,265,Shih-Tzu,98.56,True,Lhasa,0.71,True,Pekinese,0.31,True
668614819948453888,a,7/10,Unknown dog stage,341,654,bustard,38.08,False,pelican,10.06,False,crane,8.47,False
668620235289837568,Kallie,10/10,Unknown dog stage,45,211,crash_helmet,75.79,False,toaster,3.75,False,mouse,2.73,False
668623201287675904,Jomathan,10/10,Unknown dog stage,851,1551,Chihuahua,70.82,True,Pomeranian,9.14,True,titi,6.73,False
668625577880875008,Maks,10/10,Unknown dog stage,140,417,ox,7.15,False,groenendael,5.45,True,Angora,4.5,False
668627278264475648,Timofy,9/10,Unknown dog stage,123,341,French_bulldog,96.54,True,pug,0.86,True,Boston_bull,0.8,True
668631377374486528,Zeek,5/10,Unknown dog stage,349,763,miniature_schnauzer,90.45,True,Australian_terrier,2.25,True,silky_terrier,1.52,True
668633411083464705,Churlie,10/10,Unknown dog stage,1788,3024,Pekinese,58.9,True,Shih-Tzu,39.1,True,Japanese_spaniel,0.33,True
668636665813057536,an,10/10,Unknown dog stage,528,1114,komondor,100.0,True,llama,0.0,False,ram,0.0,False
668641109086707712,Hanz,10/10,Unknown dog stage,573,1145,vacuum,43.26,False,pug,14.63,True,toilet_tissue,2.45,False
668643542311546881,None,3/10,Unknown dog stage,576,939,common_iguana,48.4,False,frilled_lizard,11.14,False,sandbar,7.9,False
668645506898350081,None,11/10,Unknown dog stage,588,962,ski_mask,30.29,False,knee_pad,9.69,False,balance_beam,8.41,False
668655139528511488,Winifred,11/10,Unknown dog stage,233,562,beagle,31.91,True,Italian_greyhound,10.33,True,basenji,9.19,True
668779399630725120,Kevon,10/10,Unknown dog stage,409,749,Chesapeake_Bay_retriever,28.55,True,Weimaraner,14.68,True,black-footed_ferret,6.09,False
668815180734689280,a,7/10,Unknown dog stage,291,610,redbone,46.12,True,Italian_greyhound,27.07,True,miniature_pinscher,10.98,True
668826086256599040,Banditt,10/10,Unknown dog stage,150,467,malinois,64.02,True,Irish_terrier,15.37,True,Rhodesian_ridgeback,6.85,True
668852170888998912,Bobb,11/10,Unknown dog stage,184,479,golden_retriever,90.35,True,Tibetan_mastiff,4.15,True,kuvasz,2.25,True
668872652652679168,Amélie,11/10,Unknown dog stage,322,566,teddy,41.34,False,pillow,32.56,False,miniature_schnauzer,3.55,True
668892474547511297,Ruffles,11/10,Unknown dog stage,164,422,kelpie,42.2,True,collie,22.71,True,Cardigan,16.82,True
668902994700836864,Lambeau,11/10,Unknown dog stage,107,338,Brittany_spaniel,82.84,True,Ibizan_hound,4.31,True,Blenheim_spaniel,2.8,True
668932921458302977,Herald,9/10,Unknown dog stage,63,284,standard_poodle,23.76,True,Old_English_sheepdog,19.56,True,toy_poodle,14.47,True
668955713004314625,a,10/10,Unknown dog stage,77,300,cocker_spaniel,36.75,True,Lakeland_terrier,27.26,True,soft-coated_wheaten_terrier,6.7,True
668960084974809088,Jaycob,10/10,Unknown dog stage,263,757,shower_curtain,22.63,False,Chesapeake_Bay_retriever,16.59,True,bathtub,5.67,False
668975677807423489,Jeremy,11/10,Unknown dog stage,641,1386,basset,60.54,True,Welsh_springer_spaniel,18.48,True,Saint_Bernard,11.63,True
668979806671884288,Chaz,12/10,Unknown dog stage,382,842,golden_retriever,60.85,True,Irish_setter,9.71,True,redbone,7.6,True
668981893510119424,None,4/10,Unknown dog stage,340,573,jellyfish,44.72,False,coral_reef,23.86,False,goldfish,4.02,False
668986018524233728,Ruby,9/10,Unknown dog stage,183,578,doormat,97.61,False,Chihuahua,0.56,True,Norfolk_terrier,0.39,True
668988183816871936,None,7/10,Unknown dog stage,516,961,Arabian_camel,99.96,False,bison,0.02,False,llama,0.01,False
668989615043424256,Bernie,3/10,Unknown dog stage,356,726,pug,91.73,True,waffle_iron,1.49,False,Chihuahua,1.35,True
668992363537309700,Harrison,8/10,Unknown dog stage,381,802,lynx,28.75,False,tabby,20.6,False,koala,8.14,False
668994913074286592,None,5/10,Unknown dog stage,254,468,hog,11.38,False,English_springer,8.98,True,French_bulldog,8.22,True
669000397445533696,Terrance,11/10,Unknown dog stage,6965,22118,Pembroke,82.29,True,Cardigan,17.7,True,basenji,0.0,True
669006782128353280,Tucker,12/10,Unknown dog stage,269,610,Chihuahua,12.72,True,Italian_greyhound,5.42,True,pillow,4.86,False
669015743032369152,None,10/10,Unknown dog stage,403,785,comic_book,27.59,False,bib,17.35,False,jersey,7.39,False
669037058363662336,None,10/10,Unknown dog stage,336,698,Chihuahua,80.35,True,Pomeranian,5.39,True,chow,3.23,True
669203728096960512,Samsom,9/10,Unknown dog stage,522,1074,pug,91.05,True,French_bulldog,5.51,True,Chihuahua,1.49,True
669214165781868544,Jaspers,10/10,Unknown dog stage,183,468,minivan,43.54,False,police_van,31.01,False,minibus,6.82,False
669216679721873412,Clarq,8/10,Unknown dog stage,422,958,golden_retriever,99.28,True,Irish_setter,0.34,True,Saluki,0.12,True
669324657376567296,Ralf,11/10,Unknown dog stage,223,525,seashore,20.17,False,Cardigan,13.15,True,sandbar,10.14,False
669327207240699904,None,13/10,Unknown dog stage,127,610,golden_retriever,91.96,True,Labrador_retriever,4.97,True,kuvasz,1.02,True
669328503091937280,Kirk,12/10,Unknown dog stage,452,1081,Siberian_husky,42.42,True,Eskimo_dog,23.77,True,malamute,5.26,True
669351434509529089,Sully,10/10,Unknown dog stage,207,474,cuirass,75.68,False,breastplate,23.35,False,bulletproof_vest,0.38,False
669354382627049472,Dug,8/10,Unknown dog stage,1390,2889,Chihuahua,97.4,True,French_bulldog,1.08,True,Pekinese,0.21,True
669359674819481600,Saydee,11/10,Unknown dog stage,134,390,Labrador_retriever,36.78,True,German_short-haired_pointer,28.06,True,Chesapeake_Bay_retriever,18.42,True
669363888236994561,None,10/10,Unknown dog stage,252,669,golden_retriever,53.9,True,Irish_setter,40.66,True,cocker_spaniel,4.15,True
669367896104181761,Chip,10/10,Unknown dog stage,172,485,basset,74.94,True,beagle,13.36,True,Welsh_springer_spaniel,3.02,True
669371483794317312,Oliviér,10/10,Unknown dog stage,196,524,Brabancon_griffon,48.33,True,miniature_pinscher,30.75,True,redbone,7.05,True
669375718304980992,Billl,6/10,Unknown dog stage,792,1425,Airedale,16.88,True,Norfolk_terrier,10.75,True,Lakeland_terrier,9.78,True
669393256313184256,Ronduh,10/10,Unknown dog stage,83,383,cocker_spaniel,35.98,True,Blenheim_spaniel,13.95,True,toy_poodle,13.27,True
669564461267722241,a,10/10,Unknown dog stage,133,413,toy_poodle,62.37,True,miniature_poodle,25.99,True,standard_poodle,8.25,True
669567591774625800,Kollin,9/10,Unknown dog stage,61,248,Chihuahua,98.05,True,toy_terrier,0.92,True,miniature_pinscher,0.27,True
669571471778410496,Keith,7/10,Unknown dog stage,1085,1684,minivan,87.35,False,pickup,4.13,False,beach_wagon,1.54,False
669573570759163904,Linda,10/10,Unknown dog stage,156,467,West_Highland_white_terrier,94.68,True,miniature_schnauzer,2.23,True,cairn,0.95,True
669583744538451968,None,6/10,Unknown dog stage,1017,1587,candle,17.43,False,lampshade,12.04,False,plunger,7.21,False
669597912108789760,Skye,10/10,Unknown dog stage,163,550,Eskimo_dog,59.57,True,Siberian_husky,21.45,True,white_wolf,14.72,False
669603084620980224,None,10/10,Unknown dog stage,401,1006,Maltese_dog,65.96,True,Tibetan_terrier,19.35,True,Shih-Tzu,3.93,True
669625907762618368,Penny,12/10,Unknown dog stage,1963,3769,seat_belt,87.45,False,golden_retriever,5.54,True,Labrador_retriever,2.69,True
669661792646373376,a,5/10,Unknown dog stage,482,860,weasel,26.28,False,Siamese_cat,14.83,False,hamster,11.64,False
669680153564442624,Shawwn,8/10,Unknown dog stage,311,712,dalmatian,14.13,True,borzoi,13.77,True,Labrador_retriever,10.38,True
669682095984410625,Louie,9/10,Unknown dog stage,146,375,Christmas_stocking,18.84,False,studio_couch,8.69,False,bookcase,8.26,False
669683899023405056,Kloey,10/10,Unknown dog stage,119,412,Pomeranian,99.83,True,Chihuahua,0.06,True,Pekinese,0.05,True
669749430875258880,Clarence,8/10,Unknown dog stage,71,289,washbasin,24.58,False,toilet_seat,10.94,False,paper_towel,10.57,False
669753178989142016,Chester,10/10,Unknown dog stage,431,858,Pembroke,85.85,True,hamster,2.63,False,Shetland_sheepdog,2.24,True
669923323644657664,a,10/10,Unknown dog stage,64,250,car_mirror,34.31,False,seat_belt,11.03,False,wing,8.01,False
669926384437997569,None,12/10,Unknown dog stage,115,400,Pomeranian,98.42,True,keeshond,1.02,True,papillon,0.22,True
669942763794931712,Andru,11/10,Unknown dog stage,183,536,vizsla,74.32,True,redbone,21.73,True,Rhodesian_ridgeback,2.85,True
669970042633789440,Julio,10/10,Unknown dog stage,65,317,miniature_pinscher,73.47,True,Rottweiler,13.11,True,Doberman,8.15,True
669972011175813120,None,10/10,Unknown dog stage,175,471,teddy,95.31,False,koala,0.7,False,fur_coat,0.54,False
669993076832759809,Zoey,9/10,Unknown dog stage,92,344,piggy_bank,17.63,False,hair_spray,9.75,False,toy_poodle,8.65,True
670003130994700288,Raphael,10/10,Unknown dog stage,100,352,beagle,37.53,True,Saint_Bernard,17.49,True,English_foxhound,11.59,True
670037189829525505,None,5/10,Unknown dog stage,306,625,pot,27.38,False,tray,9.29,False,doormat,5.07,False
